,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5388,1176115172470371169,https://www.airbnb.com/rooms/1176115172470371169,20240905174946,2024-09-06,previous scrape,Charming Urban Retreat + Terrace,"Welcome to your perfect stay in Amsterdam! Nestled in a historical building in the charming neighborhood of Oud-Zuid, our spacious luxury apartment offers everything you need for an unforgettable experience in this vibrant city. The living area is bright and airy, with large windows that let in plenty of natural light. You'll find a fully equipped kitchen, perfect for cooking your own meals, and a cozy dining area to enjoy them in. All next to a big sunny terrace.",,https://a0.muscache.com/pictures/miso/Hosting-1176115172470371169/original/bddc60e9-2d48-451a-8664-b985e5b04eeb.jpeg,47500421,https://www.airbnb.com/users/show/47500421,Alexander,2015-10-26,"London, United Kingdom",,within an hour,86%,100%,f,https://a0.muscache.com/im/pictures/user/87025f45-e941-4279-8dab-1636f7f53288.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/87025f45-e941-4279-8dab-1636f7f53288.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Zuid,,52.35764812755894,4.873537076913055,Entire rental unit,Entire home/apt,6,,1.5 baths,2.0,,"[""Smoke alarm"", ""TV"", ""Dedicated workspace"", ""Outdoor dining area"", ""First aid kit"", ""Wifi"", ""Kitchen""]",,4,365,4.0,4.0,365.0,365.0,4.0,365.0,,t,0,0,0,0,2024-09-06,3,3,0,2024-06-17,2024-07-18,4.33,4.33,4.67,5.0,5.0,5.0,4.0,0363 F41A 0E6A 42A9 F7E4,t,1,1,0,0,1.1
5401,1210728455395784016,https://www.airbnb.com/rooms/1210728455395784016,20240905174946,2024-09-06,city scrape,Groot appartement met tuin A'dam,Lovely apartment 114 m2 with garden of 50 m2. Large living room and bedrooms. <br />Within 20 minutes in the city center of Amsterdam and central station.<br />10mins walk to town beach.,,https://a0.muscache.com/pictures/miso/Hosting-1210728455395784016/original/e3f6baac-07e9-46e2-a791-58ae889d34e6.jpeg,592648272,https://www.airbnb.com/users/show/592648272,Christine,2024-07-28,"Amsterdam, Netherlands",Ik hou van reizen en zie Airbnb als de manier dit nog beter mogelijk te maken. Graag bied ik me huis aan zodat jij dit ook kunt doen:-),within a few hours,59%,18%,f,https://a0.muscache.com/im/pictures/user/User-592648272/original/efa1a0df-6999-49a2-bdcb-0a315ff2b034.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-592648272/original/efa1a0df-6999-49a2-bdcb-0a315ff2b034.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,IJburg - Zeeburgereiland,,52.35505036214544,4.999075503704824,Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,3.0,"[""Paid parking on premises"", ""Smoke alarm"", ""Washer"", ""TV"", ""Beach access \u2013 Beachfront"", ""Outdoor dining area"", ""First aid kit"", ""BBQ grill"", ""Wifi"", ""Kitchen""]",$190.00,1,6,1.0,1.0,6.0,6.0,1.0,6.0,,t,0,0,0,217,2024-09-06,3,3,3,2024-08-17,2024-08-28,5.0,5.0,4.33,5.0,5.0,4.67,4.67,0363 AAF4 9D73 6528 D06B,f,1,1,0,0,3.0
5406,1191791699151377770,https://www.airbnb.com/rooms/1191791699151377770,20240905174946,2024-09-06,city scrape,NLS Amsterdam,"Enjoy a stylish entire home experience, located in the Jordaan-heart of Amsterdam.",,https://a0.muscache.com/pictures/hosting/Hosting-1191791699151377770/original/7d2223b6-0a63-4846-9c2b-6aca16df9a26.jpeg,555844010,https://www.airbnb.com/users/show/555844010,Dion,2024-01-11,,,a few days or more,29%,17%,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,1,1,"['email', 'phone']",f,t,,Centrum-West,,52.37473418061022,4.87811241298914,Entire home,Entire home/apt,6,1.5,1.5 baths,3.0,3.0,"[""Toaster"", ""Paid parking on premises"", ""Free washer"", ""Body soap"", ""Dedicated workspace"", ""Coffee maker"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Wine glasses"", ""Bathtub"", ""Indoor fireplace"", ""Wifi"", ""Dryer"", ""Dishwasher"", ""Essentials"", ""Books and reading material"", ""Heating"", ""TV"", ""Board games"", ""First aid kit"", ""Fire extinguisher"", ""Kitchen"", ""Baking sheet""]",$450.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,4,13,27,217,2024-09-06,3,3,2,2024-07-18,2024-08-23,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0363 C3F1 E057 0B2E 5B8B,f,1,1,0,0,1.76
5449,45461175,https://www.airbnb.com/rooms/45461175,20240905174946,2024-09-06,city scrape,Luxury Park View Apartment in Amsterdam East,"Apartment<br /><br />Spacious apartment of 130 m2 (1400 ft2. With a large living room, 3 bedrooms, 2 large bathrooms and a fully equipped kitchen. It is tastefully designed with characteristic attributes like glass-in-lead doors and windows.<br /><br />Located in a characteristic old Amsterdam neighborhood overlooking the Oosterpark. With a short and frequent connection to the heart of the city with a tram stop right in front of the door. Also the convenience of having Café Kuijper on the ground floor!","The Linnaeusstraat where Villa Kuijper is on, is a lively street full of shops and restaurants. Across the street you will find the lovely 'Oosterpark' (Park East) which borders on the fascinating 'Tropenmuseum' (Museum of the Tropics). You are also close to 'Artis' (Amsterdam's world famous zoo). And you are only 200 meters from the 'Dapper Markt', one of the cities most lively and multi-cultural outdoor markets. Just a heartbeat away you will find 'Brouwerij ‘t IJ', a brewery with a tasty selection of home-brewed beers. Cheers! Step out the front door and you can take several trams and busses to travel around the city.",https://a0.muscache.com/pictures/miso/Hosting-45461175/original/2c3a2697-048e-4873-b8fe-a6a7c47e92a9.jpeg,367777006,https://www.airbnb.com/users/show/367777006,Jason,2020-09-16,"Amsterdam, Netherlands",Wij verhuren een prachtig appartement in het hartje van Amsterdam Oost! Verblijf bij ons en heb de ultieme Amsterdam ervaring! ,within an hour,100%,92%,f,https://a0.muscache.com/im/pictures/user/409a0faa-7a11-4dd1-90ed-b8ec2d42589b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/409a0faa-7a11-4dd1-90ed-b8ec2d42589b.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Oud-Oost,,52.36076,4.92498,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,5.0,"[""Dishes and silverware"", ""Toaster"", ""Coffee"", ""Free washer \u2013 In unit"", ""Central heating"", ""Dedicated workspace"", ""Kitchen"", ""Exterior security cameras on property"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hot water"", ""Smoke alarm"", ""Lockbox"", ""Iron"", ""Cleaning products"", ""Microwave"", ""Refrigerator"", ""Wine glasses"", ""Extra pillows and blankets"", ""Coffee maker: Nespresso"", ""Portable air conditioning"", ""Paid street parking off premises"", ""Park view"", ""Oven"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Hot water kettle"", ""Clothing storage: wardrobe"", ""Hangers"", ""Dining table"", ""Essentials"", ""50 inch TV with Chromecast"", ""Long term stays allowed"", ""Freezer"", ""Laundromat nearby"", ""Private entrance"", ""High chair"", ""Bed linens"", ""Gas stove""]",$340.00,4,90,4.0,4.0,90.0,90.0,4.0,90.0,,t,2,10,28,80,2024-09-06,78,19,2,2021-07-19,2024-08-15,4.87,4.87,4.95,4.95,4.83,4.76,4.68,0363 34B1 1AED AF50 A7F0,f,1,1,0,0,2.04
5460,1055703,https://www.airbnb.com/rooms/1055703,20240905174946,2024-09-06,city scrape,FINE STAY NEAR MUSEUMS & PARC ! 4 adults or family,"Live like a local in a charming and spacious apartment in Old West part of Amsterdam City, a quiet & green area with nice shops and good restaurants around the corner. The apartment is close to museum area and Vondelpark, at 5 minutes walking distance from tramway stop to city center. The apartment is suitable for a family up to 6 persons. For a group of friends the apartment is only available for 4 persons.  You are welcome to stay a minimum of 7 nights or more if you like up to 160 nights!","The neighborhood is very charming, with lots of small shops and nice restaurants. Supermarket is on the corner. Old West is a multicultural area close to the famous Vondelpark. The ambiance is relaxed, friendly and cool.",https://a0.muscache.com/pictures/4f12af59-5fe5-4e74-ad83-cb5fa51c2694.jpg,2712718,https://www.airbnb.com/users/show/2712718,Sabrine,2012-06-22,"Naarden, Netherlands",We love travelling and discovering new places all over the world like you! Please feel welcome at our home and enjoy all its facilities and surroundings. Have fun!  ,within a day,100%,44%,t,https://a0.muscache.com/im/users/2712718/profile_pic/1345911530/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2712718/profile_pic/1345911530/original.jpg?aki_policy=profile_x_medium,Oud-West,6,6,"['email', 'phone', 'work_email']",t,t,"Amsterdam, North Holland, Netherlands",De Baarsjes - Oud-West,,52.36051,4.86451,Entire home,Entire home/apt,6,1.0,1 bath,3.0,3.0,"[""Dishes and silverware"", ""Washer"", ""Dedicated workspace"", ""Pets allowed"", ""Kitchen"", ""Coffee maker"", ""Patio or balcony"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Microwave"", ""Refrigerator"", ""Crib"", ""Oven"", ""Hair dryer"", ""Indoor fireplace"", ""Wifi"", ""Dryer"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Backyard"", ""Heating"", ""Shampoo"", ""Fire extinguisher"", ""High chair""]",$340.00,4,730,4.0,4.0,730.0,730.0,4.0,730.0,,t,0,0,0,69,2024-09-06,147,10,0,2013-05-13,2024-01-05,4.97,4.97,4.96,5.0,4.99,4.91,4.82,0363 352D 8415 DFBD CBF8,f,1,1,0,0,1.07
5505,12598630,https://www.airbnb.com/rooms/12598630,20240905174946,2024-09-06,city scrape,Marnix Design: Downtown Dream (1),"APARTMENT HIGHLIGHTS: <br />★ Modern and light<br />★ 5 single beds and a comfortable sleeping sofa<br />★ Fully equipped open kitchen<br />★ Bathroom with walk-in shower + bathtub<br />★ Separate toilet<br />★ Great view<br />★ Free Wi-fi and TV<br />★ Superb location, downtown and close to everything!","The Jordaan is one of the oldest districts of Amsterdam and where the real”Amsterdammer” are from. The best features of the city are within walking distance, making it easier to get around, Tram,bus parking are very close to the Hotel.<br />Locals will recommend that you take a stroll along the canals in the evening. It is fabulous.<br />The famous 9 streets (9 Straatjes) is only a 2-minute walk away. Here you will find all kinds of small shops, cafes and restaurants. The lively Leidseplein where all Bars / Cafe and  Nightlife, is  300m away,  you could bike to the red light districts or take a lovely stroll through the city. The Elandsgracht is a 2-minute walk away, here you can find good restaurants and supermarkets. A 5-minute walk away is Museumplein, the area that houses the Rijksmuseum, stedelijk Museum or the Van Gogh Museum. There are many tourist attractions in that neighborhood and also our beautiful Concert theatre. You could also find one of our most exclusive shopping stre",https://a0.muscache.com/pictures/feb796b0-78cf-45a6-8614-2e7594e25bb8.jpg,68338234,https://www.airbnb.com/users/show/68338234,Dries,2016-04-22,"Amsterdam, Netherlands","Hi!

My name is Dries, one of the owners of 5 luxury apartments in Amsterdam. We are hosting for people who want to enjoy everything Amsterdam has to offer, live in an original Amsterdam apartment in between ""Amsterdammers"". We hope that what Amsterdam and we have to offer makes your stay pleasant for you and that you enjoy that and have our neighbours enjoy having respectfull temporary guests!

Note that this is a typical Amsterdam building with typical steep stairs, first day it might be a bit arduous, but after some time you get used to it and run up and down the stairs!",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/dcd0a360-ea11-44e8-8a18-32842fe9b626.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/dcd0a360-ea11-44e8-8a18-32842fe9b626.jpg?aki_policy=profile_x_medium,Jordaan,5,6,['phone'],t,t,"Amsterdam, Noord-Holland, Netherlands",Centrum-West,,52.36727,4.88024,Entire rental unit,Entire home/apt,7,1.0,1 bath,2.0,5.0,"[""Dishes and silverware"", ""Washer"", ""Dedicated workspace"", ""Coffee maker"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Window guards"", ""Microwave"", ""Refrigerator"", ""Crib"", ""Bathtub"", ""Host greets you"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Dryer"", ""Dishwasher"", ""Hot water kettle"", ""Hangers"", ""Essentials"", ""Heating"", ""Long term stays allowed"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens""]",$374.00,2,365,1.0,3.0,1125.0,1125.0,2.3,1125.0,,t,5,20,44,302,2024-09-06,296,38,2,2016-07-11,2024-08-22,4.47,4.64,4.48,4.52,4.61,4.79,4.19,Exempt,f,5,5,0,0,2.98
5583,881534611740441198,https://www.airbnb.com/rooms/881534611740441198,20240905174946,2024-09-05,city scrape,Family home in North-Amsterdam!,"A beautiful family house located in the fantastic neighborhood of Amsterdam-Noord. The perfect base for exploring Amsterdam. The house is situated in a quiet and peaceful neighborhood, with trendy restaurants, museums, a park and shops close by. The house features three spacious and bright bedrooms, as well as a backyard where you can enjoy breakfast in the sun. We have decorated the house with a lot of love and care, and we hope our visitors will treat it with the same level of respect.","Amsterdam Noord is the northern district of Amsterdam, situated on the opposite bank of the IJ River from the city center. It is an up-and-coming neighborhood that has undergone significant redevelopment in recent years, transforming from an industrial area to a creative and cultural hub. The district is known for its trendy cafes, hip restaurants, and art galleries, as well as its diverse cultural offerings.<br /><br />Some of the notable attractions in Amsterdam Noord include the EYE Filmmuseum, a modernist building dedicated to the art of film; the NDSM Wharf, a former shipyard turned creative hotspot featuring street art and a flea market; and the A'DAM Lookout, an observation deck offering panoramic views of the city. There are also several parks in the area, such as the Noorderpark and the Vliegenbos, which provide ample opportunities for outdoor recreation.<br /><br />One of the unique characteristics of Amsterdam Noord is its accessibility. The district is connected to the city",https://a0.muscache.com/pictures/miso/Hosting-881534611740441198/original/fe2c27f8-3e52-45b7-b08a-db7f14a914b6.jpeg,1324858,https://www.airbnb.com/users/show/1324858,Kiona,2011-10-23,"Amsterdam, Netherlands",We live in Amsterdam with our two daughters. We are both creatives in the film industry and advertising.,within a few hours,100%,50%,f,https://a0.muscache.com/im/pictures/user/d54ae240-8713-4ea3-9a13-98ce44312fc9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d54ae240-8713-4ea3-9a13-98ce44312fc9.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Oud-Noord,,52.39572200000001,4.905338,Entire home,Entire home/apt,5,1.0,1 bath,3.0,4.0,"[""Washer"", ""TV"", ""Kitchen"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Refrigerator"", ""Wifi"", ""High chair""]",$275.00,5,21,5.0,5.0,21.0,21.0,5.0,21.0,,t,0,0,0,17,2024-09-05,2,1,1,2023-08-12,2024-08-10,5.0,4.5,4.5,4.5,4.5,4.5,4.5,0363 5BF9 BB7C C182 B77B,f,1,1,0,0,0.15
5593,978859671690039553,https://www.airbnb.com/rooms/978859671690039553,20240905174946,2024-09-05,city scrape,Spacious & Bright 6 BR Apt. with rooftop terrace,"This spacious 6 Bedroom apt is located in Amsterdam Spaarndammerbuurt, bordering the old city center, the Jordaan and easily accessible from the highway by car. <br /><br />The apt. is spacious & bright and has a great rooftop terrace! There is a fully equipped & open kitchen, a comfortable dining & lounge area, 5 Bedrooms, 3 Bathrooms and 1 Studio<br /><br />We do a 14 days cleaning service and on a weekly base on request.",,https://a0.muscache.com/pictures/miso/Hosting-978859671690039553/original/36a5142f-0518-4ef6-b4a9-a7a49d608891.jpeg,39110511,https://www.airbnb.com/users/show/39110511,Mike,2015-07-21,"Amsterdam, Netherlands","My name is Mike from Yourbnb and I love to travel around the world. Next to that I host my own listings Airbnb and helping other hosts by renting villa's, apartments and studios.",within an hour,90%,88%,f,https://a0.muscache.com/im/pictures/user/c5ac4264-f93b-4430-bdf8-bee75610b032.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c5ac4264-f93b-4430-bdf8-bee75610b032.jpg?aki_policy=profile_x_medium,,48,80,"['email', 'phone', 'work_email']",t,t,,Westerpark,,52.38414,4.8669,Entire rental unit,Entire home/apt,9,3.5,3.5 baths,6.0,7.0,"[""Dishes and silverware"", ""Coffee"", ""Free washer \u2013 In unit"", ""Central heating"", ""Dedicated workspace"", ""Private patio or balcony"", ""Cooking basics"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Cleaning products"", ""Microwave"", ""Refrigerator"", ""Wine glasses"", ""Bathtub"", ""Single level home"", ""Coffee maker: Nespresso"", ""Oven"", ""Luggage dropoff allowed"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Elevator"", ""Wifi"", ""Cleaning available during stay"", ""Dishwasher"", ""Hot water kettle"", ""Clothing storage: wardrobe"", ""Induction stove"", ""Hangers"", ""Dining table"", ""Essentials"", ""TV"", ""Long term stays allowed"", ""Outdoor dining area"", ""Freezer"", ""Laundromat nearby"", ""Shampoo"", ""Fire extinguisher"", ""Private entrance"", ""Kitchen"", ""Bed linens""]",$450.00,1,1125,1.0,28.0,73.0,1125.0,26.7,124.0,,t,9,39,69,99,2024-09-05,0,0,0,,,,,,,,,,0363 3BDD 3446 EB50 40FA,f,28,24,4,0,
5620,52812458,https://www.airbnb.com/rooms/52812458,20240905174946,2024-09-05,city scrape,"2 Bedrooms, Terrace, BBQ, 2 floors 120m2","Welcome to our 120m2, 2-floor apartment in Valeriusstraat.<br /><br />We rent out the whole apartment, or our guest room separately. Here you can book the whole apartment.<br /><br />The whole apartment consists of 2 bedrooms, a big living/dining room and a roof terrace. It is located on the 3rd and 4th floor in lovely, local Oud-Zuid, Amsterdam in close proximity to Vondelpark and Museumsplein.","The Valeriusstraat lies within the Willemspark area. A well known, posh residential but quiet area.It is in close proximity to the Vondelpark and Museumsplein",https://a0.muscache.com/pictures/6178c982-3860-4659-876d-57527c6214a0.jpg,1177084,https://www.airbnb.com/users/show/1177084,Philip,2011-09-18,"Amsterdam, Netherlands","We are Philip & Vinni, dream-team, best friends.

Philip works with Soho House Amsterdam and founded Zakaria Rugs, Vinni works in Finance. 

We work hard and enjoy ourselves, are home in Amsterdam and are grateful every day. 



",,,,f,https://a0.muscache.com/im/pictures/user/b80061a5-a735-4194-bfda-2384077fdb81.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b80061a5-a735-4194-bfda-2384077fdb81.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Zuid,,52.35179,4.85789,Entire condo,Entire home/apt,5,1.0,1 bath,2.0,2.0,"[""Dishes and silverware"", ""Shower gel"", ""Garden view"", ""Free washer \u2013 In unit"", ""Barbecue utensils"", ""Coffee"", ""Body soap"", ""Central heating"", ""Dedicated workspace"", ""Rice maker"", ""Private patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""Carbon monoxide alarm"", ""First aid kit"", ""BBQ grill"", ""Hot water"", ""Stainless steel oven"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Drying rack for clothing"", ""Sound system"", ""Cleaning products"", ""Lockbox"", ""Coffee maker: pour-over coffee"", ""Microwave"", ""Refrigerator"", ""Wine glasses"", ""Bathtub"", ""Paid street parking off premises"", ""Free dryer \u2013 In unit"", ""Exercise equipment"", ""Hair dryer"", ""Self check-in"", ""Conditioner"", ""Wifi"", ""Dishwasher"", ""Hot water kettle"", ""Clothing storage: wardrobe"", ""Hangers"", ""Dining table"", ""Books and reading material"", ""TV"", ""Board games"", ""Courtyard view"", ""Long term stays allowed"", ""Outdoor dining area"", ""Freezer"", ""Room-darkening shades"", ""Shampoo"", ""Kitchen"", ""Bed linens"", ""Baking sheet""]",$350.00,3,1125,2.0,3.0,1125.0,1125.0,3.0,1125.0,,t,0,0,13,18,2024-09-05,9,0,0,2022-06-18,2023-06-15,4.44,4.56,4.44,4.56,4.56,4.67,4.44,0363107E3DE4F086A3E6,f,1,1,0,0,0.33
5628,3781388,https://www.airbnb.com/rooms/3781388,20240905174946,2024-09-05,city scrape,"Prachtig, ruim en luxe appartement op toplocatie","A beautiful, spacious (165 m2) and luxury apartment in the center of Amsterdam. This 2-storey house, with its own entrance, has no less than 4 bedrooms and a very luxurious bathroom. In addition to a beautiful view on both sides, the very spacious and bright living room offers a luxurious kitchen with cooking island and American fridge, a lovely sitting area with fireplace, a spacious dining table, a wing and access to 1 of the 2 sunny terraces.","In the historic center of Amsterdam, canal district nearby, popular Jordaan district around the corner, park nearby, delicious restaurants/bars within walking distance. Westerpark is within walking distance.",https://a0.muscache.com/pictures/miso/Hosting-3781388/original/3367d113-325c-4543-aedc-8c8ff77f4abe.jpeg,16535126,https://www.airbnb.com/users/show/16535126,Nico,2014-06-08,"Amsterdam, Netherlands","I'm Nico, a professional musician in a world famous symphony orchestra. Work and live in Amsterdam. We have a beautiful family with 4 children.",within a day,100%,39%,f,https://a0.muscache.com/im/pictures/user/58c0c922-41fe-42e7-a575-3ecff4328957.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/58c0c922-41fe-42e7-a575-3ecff4328957.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Westerpark,,52.376488,4.876391,Entire condo,Entire home/apt,6,2.0,2 baths,4.0,4.0,"[""Dishes and silverware"", ""Toaster"", ""Outlet covers"", ""Coffee"", ""Free washer \u2013 In unit"", ""Barbecue utensils"", ""Boat slip"", ""Body soap"", ""Central heating"", ""Indoor fireplace: wood-burning"", ""Portable fans"", ""Dedicated workspace"", ""Private patio or balcony"", ""Coffee maker: drip coffee maker"", ""Outdoor furniture"", ""Piano"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Baby safety gates"", ""First aid kit"", ""Changing table"", ""Hot water"", ""Stainless steel gas stove"", ""Stainless steel oven"", ""Smoke alarm"", ""Iron"", ""Drying rack for clothing"", ""Cleaning products"", ""Blender"", ""Standalone high chair - always at the listing"", ""Ethernet connection"", ""Microwave"", ""Canal view"", ""Central air conditioning"", ""Wine glasses"", ""Bathtub"", ""Extra pillows and blankets"", ""Baby monitor - available upon request"", ""BBQ grill: charcoal"", ""Fireplace guards"", ""Host greets you"", ""Samsung refrigerator"", ""Bluetooth sound system"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Conditioner"", ""Wifi"", ""Dishwasher"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, and 5-10 years old"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Books and reading material"", ""Pack \u2019n play/Travel crib - available upon request"", ""Board games"", ""Outdoor dining area"", ""Freezer"", ""Laundromat nearby"", ""Room-darkening shades"", ""HDTV with Netflix"", ""Fire extinguisher"", ""Private entrance"", ""Kitchen"", ""Bed linens""]","$1,350.00",4,30,4.0,4.0,30.0,30.0,4.0,30.0,,t,28,58,88,358,2024-09-05,14,5,0,2022-07-06,2024-07-28,4.64,4.71,4.93,5.0,4.71,4.93,4.5,0363 AC0A 1CC6 EEB1 E20C,f,1,1,0,0,0.53
